country_region,gdp_per_capita_usd_2024,gdp_per_capita_usd_2025_proj,gdp_ppp_per_capita_2024,population_million_2024,population_million_2025,internet_penetration_pct_2024,sports_media_market_billion_usd_est
United_States,85784,88779,85784,340,347,94.7,30.0
United_Kingdom,52580,55547,58655,69.1,69.5,95.5,5.0
Japan,32513,35026,49775,124,123,85.5,4.2
South_Korea,36239,36414,58963,51.7,51.7,97.9,2.0
Germany,54986,57861,70751,84.6,83.5,93.5,2.8
Brazil,10280,10600,20478,212,213,84.5,1.8
Australia,65890,64546,70382,27.0,27.7,96.1,1.2
Vietnam,4700,4900,16386,101,102,84.2,0.3
Hong_Kong,54082,55000,75203,7.5,7.3,96.0,0.5
China,13303,13866,23846,1419,1416,92.0,4.0
India,2697,2778,9818,1451,1464,64.9,1.5
Malaysia,12406,13000,34872,35.6,36.0,95.0,0.6
Thailand,7347,8772,22744,71.7,71.6,85.0,0.4
France,46293,48000,63084,66.5,66.8,93.0,2.5
Spain,33980,36000,52423,48.6,48.9,93.0,1.8
Italy,38574,40000,58553,58.9,58.7,91.0,2.0
