参考市场数量k,价格弹性系数alpha,平均相对误差,中位相对误差
2,0.5,1.2616726239480014,0.5704545901109691
2,0.55,1.2607411657827179,0.5809974050578746
2,0.6,1.2601971570266537,0.5913983227788904
2,0.65,1.2600451311323493,0.6016625171492043
2,0.7,1.260289873633155,0.6117950149080873
2,0.75,1.2609364287317881,0.6218007002366513
2,0.8,1.2619901061101244,0.6316843191928736
2,0.85,1.2634564879681431,0.6414504840084159
2,0.9,1.2653414363001827,0.6511036772516214
2,0.95,1.2676511004168751,0.6606482558609355
2,1.0,1.2703919247213982,0.6700884550528534
2,1.05,1.273570656748913,0.6794283921083755
2,1.1,1.277194355478334,0.6886720700418167
2,1.15,1.2812703999258412,0.6978233811556969
2,1.2,1.2858064980298363,0.7068861104853195
2,1.25,1.2908106958373269,0.7158639391365302
2,1.3,1.296291387002043,0.7247604475200358
2,1.35,1.3022573226048941,0.7335791184855553
2,1.4,1.3087176213077107,0.7423233403589744
2,1.45,1.3156817798515494,0.7509964098855625
2,1.5,1.323159683911202,0.7596015350822326
3,0.5,1.2077503688202111,0.66658519331691
3,0.55,1.1983830940783553,0.6690796507599348
3,0.6,1.1895953878229366,0.671469586997806
3,0.65,1.1813796705608333,0.673756310692667
3,0.7,1.1737289967912716,0.675941090100252
3,0.75,1.1666370417402312,0.6780251536288577
3,0.8,1.16009808900807,0.6800096903818273
3,0.85,1.1541070191050775,0.6818958506837776
3,0.9,1.157910460943473,0.6836847465907918
3,0.95,1.16215631328116,0.6853774523847895
3,1.0,1.1665767963720857,0.6869750050522858
3,1.05,1.1711836847317687,0.6884784047477374
3,1.1,1.1759887062533523,0.6898886152416766
3,1.15,1.1810035603850435,0.6912065643538143
3,1.2,1.1862399360265734,0.6924331443713032
3,1.25,1.1917095291728648,0.6935692124523289
3,1.3,1.1974240603324398,0.6946155910152061
3,1.35,1.2033952917474866,0.6955730681131379
3,1.4,1.2096350444419375,0.6964423977948021
3,1.45,1.2161552151233699,0.6972243004509107
3,1.5,1.2229677929640772,0.6979194631468915
4,0.5,1.583024825499384,1.008458820250834
4,0.55,1.5547830281032766,1.0050694967176181
4,0.6,1.5279459176840835,1.0023342819136372
4,0.65,1.5024640386258548,0.9997039063948219
4,0.7,1.4782907095824735,0.9971793158444922
4,0.75,1.4553818918326127,0.9947614854632287
4,0.8,1.433696065153331,0.99245142037797
4,0.85,1.4131941108033828,0.9902501560537509
4,0.9,1.393839201231195,0.9881587587078495
4,0.95,1.375596696144986,0.9861783257260814
4,1.0,1.3584340446037007,0.9843099860809819
4,1.05,1.3423206928074203,0.9825549007515819
4,1.1,1.3272279972847392,0.9809142631444726
4,1.15,1.3191478939197843,0.9793892995158364
4,1.2,1.317208231685564,0.9779812693940922
4,1.25,1.3156601709196338,0.9766914660027977
4,1.3,1.3145109646386315,0.9755212166834077
4,1.35,1.3137678249592541,0.9744718833174864
4,1.4,1.313437953092197,0.9735448627479287
4,1.45,1.3135285678526236,0.9727415871987357
4,1.5,1.3140469328084383,0.9720635246928482
