参考市场数量k,结构价格弹性系数alpha,GDP对数敏感系数gamma1,人口对数敏感系数gamma2,层级溢价强度eta,平均相对误差,中位相对误差,最大相对误差
2,0.4,0.05,0.05,0.3,0.42220026599414384,0.36230793077389906,0.9117550481308402
2,0.4,0.1,0.05,0.3,0.42633290314539124,0.31330816676099466,1.0395756436628212
2,0.4,0.15,0.05,0.3,0.43046554029663864,0.3107369509518317,1.1673962391948023
2,0.5,0.05,0.05,0.3,0.4323074303666957,0.3652058879574831,0.8935011406730474
2,0.4,0.2,0.05,0.3,0.4345981774478861,0.3081657351426686,1.2952168347267843
2,0.5,0.1,0.05,0.3,0.43620013175571215,0.343032093398282,1.020087734149867
4,0.4,0.15,0.05,0.3,0.43663726402630465,0.4901231969095374,1.1776835454367316
2,0.4,0.25,0.05,0.3,0.43873081459913343,0.3055945193335055,1.4230374302587654
2,0.5,0.15,0.05,0.3,0.44009283314472847,0.3208582988390809,1.1466743276266864
2,0.6,0.05,0.05,0.3,0.44300248881428644,0.44348018859415933,0.876590163270595
2,0.5,0.2,0.05,0.3,0.443985534533745,0.30496102197176034,1.2732609211035055
2,0.4,0.05,0.05,0.25,0.44490620707255135,0.4201780522521233,0.8871376352136977
4,0.5,0.15,0.05,0.3,0.4464577530131264,0.5178452761546986,1.1130131696858985
2,0.6,0.1,0.05,0.3,0.4466612492716229,0.42015802150888676,1.0020331604061472
4,0.4,0.1,0.05,0.3,0.4469232321349954,0.4767429343695053,1.0819094239850584
2,0.5,0.25,0.05,0.3,0.44787823592276127,0.30244130645263545,1.3998475145803246
2,0.4,0.1,0.05,0.25,0.44817932426089907,0.377344246118188,1.0133005288880719
2,0.6,0.15,0.05,0.3,0.4503200097289592,0.39683585442361413,1.1274761575417
4,0.5,0.1,0.05,0.3,0.45068775659349547,0.5058573968509527,1.0177353355009113
2,0.4,0.15,0.05,0.25,0.4514524414492467,0.3345104399842525,1.1394634225624463
3,0.4,0.15,0.05,0.3,0.45224273903058815,0.4350720084575187,1.1776835454367316
4,0.4,0.2,0.05,0.3,0.45320741349738797,0.45544678382093506,1.2734576668884046
2,0.6,0.2,0.05,0.3,0.4539787701862954,0.3735136873383413,1.2529191546772518
2,0.7,0.05,0.05,0.3,0.454312207912045,0.4774371215041254,0.860956042502685
2,0.4,0.2,0.05,0.25,0.45472555863759445,0.3233139820269701,1.265626316236821
2,0.5,0.05,0.05,0.25,0.4555275178737818,0.43520149061206675,0.8701349599335828
4,0.6,0.1,0.05,0.3,0.4555974373016692,0.5324070220918251,0.9596659869465273
2,0.4,0.05,0.1,0.3,0.45672897873939683,0.41979720782396285,0.9575495014808034
3,0.4,0.2,0.05,0.3,0.45688746623340915,0.3871482980804315,1.2734576668884046
4,0.6,0.15,0.05,0.3,0.45711745433675877,0.5126053626105056,1.0544703479532307
2,0.6,0.25,0.05,0.3,0.45763753064363183,0.33227576655692725,1.378362151812804
2,0.7,0.1,0.05,0.3,0.4577421623151346,0.4604393091806031,0.9853413995868204
2,0.4,0.25,0.05,0.25,0.4579986758259423,0.321116812973136,1.3917892099111953
4,0.4,0.15,0.05,0.25,0.45818984440998267,0.5188684242705074,1.1800897035870273
2,0.5,0.1,0.05,0.25,0.458576280444843,0.4118908212949985,0.995148107762504
3,0.5,0.15,0.05,0.3,0.4595411930986505,0.4519482141071398,1.1130131696858985
2,0.4,0.3,0.05,0.3,0.4599028520756222,0.30302330352434237,1.5508580257907463
4,0.4,0.1,0.1,0.3,0.46059294810030355,0.5355043718467206,1.061727852892239
2,0.4,0.1,0.1,0.3,0.46086161589064406,0.3977783689742997,1.0853700970127849
2,0.7,0.15,0.05,0.3,0.4611721167182243,0.41302422310806075,1.1097267566709552
3,0.4,0.1,0.05,0.3,0.46118795640436616,0.4767429343695053,1.0819094239850584
4,0.7,0.1,0.05,0.3,0.461511377504141,0.5453922800006156,0.9395031256545826
3,0.4,0.25,0.05,0.3,0.4615321934362304,0.33922458770334457,1.369231788340078
2,0.5,0.15,0.05,0.25,0.46162504301590407,0.38858015197792994,1.120161255591425
4,0.5,0.2,0.05,0.3,0.46198501325534536,0.4805760215200093,1.2082910038708852
3,0.5,0.2,0.05,0.3,0.46333333050509684,0.4034085417546389,1.2082910038708852
2,0.7,0.2,0.05,0.3,0.46460207112131385,0.365609137035518,1.2341121137550906
2,0.5,0.2,0.05,0.25,0.46467380558696525,0.3652694826608619,1.2451744034203462
2,0.4,0.15,0.1,0.3,0.46499425304189157,0.3766966443106251,1.2131906925447662
4,0.5,0.15,0.05,0.25,0.46566942257400584,0.541360239516333,1.1140536502787737
4,0.5,0.1,0.1,0.3,0.46580026917826334,0.5305965769818259,1.0049299088362573
