GDP对数敏感系数gamma1,结构价值弹性系数alpha,平均相对误差
0.05,0.4,0.3322768591750042
0.05,0.6,0.34049561143965573
0.05,0.8,0.36446826377425384
0.05,1.0,0.39258550526110353
0.05,1.2,0.42441855169994364
0.05,1.4,0.46164861832593407
0.1,0.4,0.3362136637544006
0.1,0.6,0.35108509287042794
0.1,0.8,0.37366634687849043
0.1,1.0,0.40035525277358036
0.1,1.2,0.4307763424626873
0.1,1.4,0.4663895497120927
0.15,0.4,0.3473620931407448
0.15,0.6,0.362767081537186
0.15,0.8,0.382864429982727
0.15,1.0,0.40812500028605725
0.15,1.2,0.437134133225431
0.15,1.4,0.47113048109825123
0.2,0.4,0.3606236002690217
0.2,0.6,0.3745271154276523
0.2,0.8,0.3922679341936639
0.2,1.0,0.415894747798534
0.2,1.2,0.44349192398817466
0.2,1.4,0.47587141248440984
0.25,0.4,0.37388510739729847
0.25,0.6,0.38628714931811875
0.25,0.8,0.4020836076193693
0.25,1.0,0.42366449531101097
0.25,1.2,0.4498497147509184
0.25,1.4,0.4806171610633996
0.3,0.4,0.38714661452557536
0.3,0.6,0.398047183208585
0.3,0.8,0.41240645505623347
0.3,1.0,0.4314342428234878
0.3,1.2,0.456207505513662
0.3,1.4,0.48551217659438367
0.35,0.4,0.4016870373624775
0.35,0.6,0.41036524091098986
0.35,0.8,0.4228612013884248
0.35,1.0,0.4395698967607138
0.35,1.2,0.46257167354510004
0.35,1.4,0.49163049275359266
